"id","edad","nivel","experiencia","female","treatment","politica","raw_repetition_rate","relative_harshness","stage","cutoff_age","years_from_cutoff","bologna_cohort","cutoff_side"
"R_8rCf0PNQng2dIyT",55,"E. Primaria",30,NA,"9","3",1,0.139566395663957,"Primary teachers",34,21,"Pre-Bologna training","Older side"
"R_8KIcHGURR1x2Yci",42,"E. Primaria",15,"1","1","2",0.444444444444444,-0.0684619480700268,"Primary teachers",34,8,"Pre-Bologna training","Older side"
"R_2kbNPZO72K4cS79",43,"E. Primaria",20,"1","2","3",0.25,-0.213964987819877,"Primary teachers",34,9,"Pre-Bologna training","Older side"
"R_8388X7Nv43oFpFP",40,"E. Secundaria",6,"1","8","1",1,0.152313624678663,"Secondary teachers",39,1,"Pre-Bologna training","Older side"
"R_8qauME5cjA7fJo8",50,"E. Primaria",26,"1","2","3",0.714285714285714,0.306569172474275,"Primary teachers",34,16,"Pre-Bologna training","Older side"
"R_2NUTxilW4eNIgAu",43,"E. Primaria",8,"1","9","3",0.428571428571429,0.0199662457738088,"Primary teachers",34,9,"Pre-Bologna training","Older side"
"R_2EgK1SPJCnjMUPK",61,"E. Secundaria",22,"1","9","1",1,0.152313624678663,"Secondary teachers",39,22,"Pre-Bologna training","Older side"
"R_2ieqRPiU1oLLRsl",52,"E. Primaria",18,"1","3","1",1,0.139566395663957,"Primary teachers",34,18,"Pre-Bologna training","Older side"
"R_83eYfaaRLKPNkGV",56,"E. Secundaria",35,"1","8","3",0,-0.861111111111111,"Secondary teachers",39,17,"Pre-Bologna training","Older side"
"R_8YmVcbqXOgAtt3b",33,"E. Primaria",6,"1","2","1",0.666666666666667,0.161167148945449,"Primary teachers",34,-1,"Bologna-era training","Younger side"
"R_8aP1VvmucdxhHZn",42,"E. Primaria",20,"0","9","2",0.777777777777778,0.267307118390042,"Primary teachers",34,8,"Pre-Bologna training","Older side"
"R_2lcwTdolkVxCbIA",26,"E. Primaria",1,"0","5","1",0.444444444444444,0.0322446688571103,"Primary teachers",34,-8,"Bologna-era training","Younger side"
